2025-04-03 16:23:38 install libk5crypto3:amd64 <none> 1.20.1-2+deb12u2
2025-04-03 16:23:38 status half-installed libk5crypto3:amd64 1.20.1-2+deb12u2
2025-04-03 16:23:38 status unpacked libk5crypto3:amd64 1.20.1-2+deb12u2
2025-04-03 16:23:38 install libkeyutils1:amd64 <none> 1.6.3-2
2025-04-03 16:23:38 status half-installed libkeyutils1:amd64 1.6.3-2
2025-04-03 16:23:38 status unpacked libkeyutils1:amd64 1.6.3-2
2025-04-03 16:23:38 install libssl3:amd64 <none> 3.0.15-1~deb12u1
2025-04-03 16:23:38 status half-installed libssl3:amd64 3.0.15-1~deb12u1
2025-04-03 16:23:38 status unpacked libssl3:amd64 3.0.15-1~deb12u1
2025-04-03 16:23:38 install libkrb5-3:amd64 <none> 1.20.1-2+deb12u2
2025-04-03 16:23:38 status half-installed libkrb5-3:amd64 1.20.1-2+deb12u2
2025-04-03 16:23:38 status unpacked libkrb5-3:amd64 1.20.1-2+deb12u2
2025-04-03 16:23:38 install libgssapi-krb5-2:amd64 <none> 1.20.1-2+deb12u2
2025-04-03 16:23:38 status half-installed libgssapi-krb5-2:amd64 1.20.1-2+deb12u2
2025-04-03 16:23:38 status unpacked libgssapi-krb5-2:amd64 1.20.1-2+deb12u2
2025-04-03 16:23:38 install libtirpc-common:all <none> 1.3.3+ds-1
2025-04-03 16:23:38 status half-installed libtirpc-common:all 1.3.3+ds-1
2025-04-03 16:23:38 status unpacked libtirpc-common:all 1.3.3+ds-1
2025-04-03 16:23:38 install libtirpc3:amd64 <none> 1.3.3+ds-1
2025-04-03 16:23:38 status half-installed libtirpc3:amd64 1.3.3+ds-1
2025-04-03 16:23:38 status unpacked libtirpc3:amd64 1.3.3+ds-1
2025-04-03 16:23:38 install libnsl2:amd64 <none> 1.3.0-2
2025-04-03 16:23:38 status half-installed libnsl2:amd64 1.3.0-2
2025-04-03 16:23:38 status unpacked libnsl2:amd64 1.3.0-2
2025-04-03 16:23:38 install libtirpc-dev:amd64 <none> 1.3.3+ds-1
2025-04-03 16:23:38 status half-installed libtirpc-dev:amd64 1.3.3+ds-1
2025-04-03 16:23:38 status unpacked libtirpc-dev:amd64 1.3.3+ds-1
2025-04-03 16:23:38 install libnsl-dev:amd64 <none> 1.3.0-2
2025-04-03 16:23:38 status half-installed libnsl-dev:amd64 1.3.0-2
2025-04-03 16:23:38 status unpacked libnsl-dev:amd64 1.3.0-2
2025-04-03 16:23:38 install rpcsvc-proto:amd64 <none> 1.4.3-1
2025-04-03 16:23:38 status half-installed rpcsvc-proto:amd64 1.4.3-1
2025-04-03 16:23:38 status unpacked rpcsvc-proto:amd64 1.4.3-1
2025-04-03 16:23:38 install libc6-dev:amd64 <none> 2.36-9+deb12u10
2025-04-03 16:23:38 status half-installed libc6-dev:amd64 2.36-9+deb12u10
2025-04-03 16:23:39 status unpacked libc6-dev:amd64 2.36-9+deb12u10
2025-04-03 16:23:39 install libisl23:amd64 <none> 0.25-1.1
2025-04-03 16:23:39 status half-installed libisl23:amd64 0.25-1.1
2025-04-03 16:23:39 status unpacked libisl23:amd64 0.25-1.1
2025-04-03 16:23:39 install libmpc3:amd64 <none> 1.3.1-1
2025-04-03 16:23:39 status half-installed libmpc3:amd64 1.3.1-1
2025-04-03 16:23:39 status unpacked libmpc3:amd64 1.3.1-1
2025-04-03 16:23:39 install cpp-12:amd64 <none> 12.2.0-14
2025-04-03 16:23:39 status half-installed cpp-12:amd64 12.2.0-14
2025-04-03 16:23:40 status unpacked cpp-12:amd64 12.2.0-14
2025-04-03 16:23:40 install cpp:amd64 <none> 4:12.2.0-3
2025-04-03 16:23:40 status half-installed cpp:amd64 4:12.2.0-3
2025-04-03 16:23:40 status unpacked cpp:amd64 4:12.2.0-3
2025-04-03 16:23:40 install libcc1-0:amd64 <none> 12.2.0-14
2025-04-03 16:23:40 status half-installed libcc1-0:amd64 12.2.0-14
2025-04-03 16:23:40 status unpacked libcc1-0:amd64 12.2.0-14
2025-04-03 16:23:40 install libgomp1:amd64 <none> 12.2.0-14
2025-04-03 16:23:40 status half-installed libgomp1:amd64 12.2.0-14
2025-04-03 16:23:40 status unpacked libgomp1:amd64 12.2.0-14
2025-04-03 16:23:40 install libitm1:amd64 <none> 12.2.0-14
2025-04-03 16:23:40 status half-installed libitm1:amd64 12.2.0-14
2025-04-03 16:23:40 status unpacked libitm1:amd64 12.2.0-14
2025-04-03 16:23:40 install libatomic1:amd64 <none> 12.2.0-14
2025-04-03 16:23:40 status half-installed libatomic1:amd64 12.2.0-14
2025-04-03 16:23:40 status unpacked libatomic1:amd64 12.2.0-14
2025-04-03 16:23:40 install libasan8:amd64 <none> 12.2.0-14
2025-04-03 16:23:40 status half-installed libasan8:amd64 12.2.0-14
2025-04-03 16:23:41 status unpacked libasan8:amd64 12.2.0-14
2025-04-03 16:23:41 install liblsan0:amd64 <none> 12.2.0-14
2025-04-03 16:23:41 status half-installed liblsan0:amd64 12.2.0-14
2025-04-03 16:23:41 status unpacked liblsan0:amd64 12.2.0-14
2025-04-03 16:23:41 install libtsan2:amd64 <none> 12.2.0-14
2025-04-03 16:23:41 status half-installed libtsan2:amd64 12.2.0-14
2025-04-03 16:23:41 status unpacked libtsan2:amd64 12.2.0-14
2025-04-03 16:23:41 install libubsan1:amd64 <none> 12.2.0-14
2025-04-03 16:23:41 status half-installed libubsan1:amd64 12.2.0-14
2025-04-03 16:23:41 status unpacked libubsan1:amd64 12.2.0-14
2025-04-03 16:23:41 install libquadmath0:amd64 <none> 12.2.0-14
2025-04-03 16:23:41 status half-installed libquadmath0:amd64 12.2.0-14
2025-04-03 16:23:41 status unpacked libquadmath0:amd64 12.2.0-14
2025-04-03 16:23:41 install libgcc-12-dev:amd64 <none> 12.2.0-14
2025-04-03 16:23:41 status half-installed libgcc-12-dev:amd64 12.2.0-14
2025-04-03 16:23:41 status unpacked libgcc-12-dev:amd64 12.2.0-14
2025-04-03 16:23:41 install gcc-12:amd64 <none> 12.2.0-14
2025-04-03 16:23:41 status half-installed gcc-12:amd64 12.2.0-14
2025-04-03 16:23:42 status unpacked gcc-12:amd64 12.2.0-14
2025-04-03 16:23:42 install gcc:amd64 <none> 4:12.2.0-3
2025-04-03 16:23:42 status half-installed gcc:amd64 4:12.2.0-3
2025-04-03 16:23:42 status unpacked gcc:amd64 4:12.2.0-3
2025-04-03 16:23:42 install libstdc++-12-dev:amd64 <none> 12.2.0-14
2025-04-03 16:23:42 status half-installed libstdc++-12-dev:amd64 12.2.0-14
2025-04-03 16:23:42 status unpacked libstdc++-12-dev:amd64 12.2.0-14
2025-04-03 16:23:42 install g++-12:amd64 <none> 12.2.0-14
2025-04-03 16:23:42 status half-installed g++-12:amd64 12.2.0-14
2025-04-03 16:23:43 status unpacked g++-12:amd64 12.2.0-14
2025-04-03 16:23:43 install g++:amd64 <none> 4:12.2.0-3
2025-04-03 16:23:43 status half-installed g++:amd64 4:12.2.0-3
2025-04-03 16:23:43 status unpacked g++:amd64 4:12.2.0-3
2025-04-03 16:23:43 install make:amd64 <none> 4.3-4.1
2025-04-03 16:23:43 status half-installed make:amd64 4.3-4.1
2025-04-03 16:23:43 status unpacked make:amd64 4.3-4.1
2025-04-03 16:23:43 install libdpkg-perl:all <none> 1.21.22
2025-04-03 16:23:43 status half-installed libdpkg-perl:all 1.21.22
2025-04-03 16:23:43 status unpacked libdpkg-perl:all 1.21.22
2025-04-03 16:23:43 install patch:amd64 <none> 2.7.6-7
2025-04-03 16:23:43 status half-installed patch:amd64 2.7.6-7
2025-04-03 16:23:43 status unpacked patch:amd64 2.7.6-7
2025-04-03 16:23:43 install dpkg-dev:all <none> 1.21.22
