LAST SEEN   TYPE      REASON              OBJECT                        MESSAGE
40m         Normal    SuccessfulDelete    replicaset/nginx-6f7db544d7   Deleted pod: nginx-6f7db544d7-xpl6b
40m         Normal    SuccessfulDelete    replicaset/nginx-6f7db544d7   Deleted pod: nginx-6f7db544d7-rwvhq
40m         Normal    SuccessfulDelete    replicaset/nginx-6f7db544d7   Deleted pod: nginx-6f7db544d7-m6dcb
40m         Normal    SuccessfulDelete    replicaset/nginx-6f7db544d7   Deleted pod: nginx-6f7db544d7-6nmvw
39m         Normal    SuccessfulDelete    replicaset/nginx-6f7db544d7   Deleted pod: nginx-6f7db544d7-v2xjs
38m         Normal    SuccessfulCreate    replicaset/nginx-6f7db544d7   Created pod: nginx-6f7db544d7-76rkr
38m         Normal    SuccessfulCreate    replicaset/nginx-6f7db544d7   (combined from similar events): Created pod: nginx-6f7db544d7-d9gq6
30m         Normal    SuccessfulDelete    replicaset/nginx-6f7db544d7   Deleted pod: nginx-6f7db544d7-54d9l
10m         Normal    SuccessfulDelete    replicaset/nginx-6f7db544d7   (combined from similar events): Deleted pod: nginx-6f7db544d7-wdj7h
28m         Normal    SuccessfulCreate    replicaset/nginx-6f7db544d7   Created pod: nginx-6f7db544d7-d8s65
28m         Normal    SuccessfulCreate    replicaset/nginx-6f7db544d7   Created pod: nginx-6f7db544d7-wqv82
28m         Normal    SuccessfulCreate    replicaset/nginx-6f7db544d7   Created pod: nginx-6f7db544d7-8c4vn
28m         Normal    SuccessfulCreate    replicaset/nginx-6f7db544d7   Created pod: nginx-6f7db544d7-cn2vh
22m         Normal    SuccessfulCreate    replicaset/nginx-6f7db544d7   Created pod: nginx-6f7db544d7-2rw8c
19m         Normal    Scheduled           pod/nginx-86cdfcdf8f-pd5wl    Successfully assigned default/nginx-86cdfcdf8f-pd5wl to minikube
19m         Normal    Pulling             pod/nginx-86cdfcdf8f-pd5wl    Pulling image "wojzacharski/nginx-app:1.2"
19m         Normal    Pulled              pod/nginx-86cdfcdf8f-pd5wl    Successfully pulled image "wojzacharski/nginx-app:1.2" in 2.124s (2.124s including waiting). Image size: 48240137 bytes.
14m         Normal    Created             pod/nginx-86cdfcdf8f-pd5wl    Created container: nginx-app
14m         Normal    Started             pod/nginx-86cdfcdf8f-pd5wl    Started container nginx-app
14m         Normal    Pulled              pod/nginx-86cdfcdf8f-pd5wl    Container image "wojzacharski/nginx-app:1.2" already present on machine
14m         Warning   BackOff             pod/nginx-86cdfcdf8f-pd5wl    Back-off restarting failed container nginx-app in pod nginx-86cdfcdf8f-pd5wl_default(e2b831fe-e0f7-46b8-9462-6054bc5c06da)
19m         Normal    Scheduled           pod/nginx-86cdfcdf8f-svcsw    Successfully assigned default/nginx-86cdfcdf8f-svcsw to minikube
19m         Normal    Pulling             pod/nginx-86cdfcdf8f-svcsw    Pulling image "wojzacharski/nginx-app:1.2"
19m         Normal    Pulled              pod/nginx-86cdfcdf8f-svcsw    Successfully pulled image "wojzacharski/nginx-app:1.2" in 1.1s (3.198s including waiting). Image size: 48240137 bytes.
14m         Normal    Created             pod/nginx-86cdfcdf8f-svcsw    Created container: nginx-app
14m         Normal    Started             pod/nginx-86cdfcdf8f-svcsw    Started container nginx-app
14m         Normal    Pulled              pod/nginx-86cdfcdf8f-svcsw    Container image "wojzacharski/nginx-app:1.2" already present on machine
14m         Warning   BackOff             pod/nginx-86cdfcdf8f-svcsw    Back-off restarting failed container nginx-app in pod nginx-86cdfcdf8f-svcsw_default(1c865cea-4973-4305-984c-fc054ebdaea5)
19m         Normal    SuccessfulCreate    replicaset/nginx-86cdfcdf8f   Created pod: nginx-86cdfcdf8f-pd5wl
